City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Pueblo Bello,CO,8.2041,-76.526,73.94,96,99,0.81,overcast clouds
146,Saint-Georges,GD,12.0564,-61.7485,78.48,83,75,4.61,broken clouds
147,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,100,100,11.5,drizzle
148,Bereda,ES,43.2686,-7.5406,51.58,56,25,6.96,scattered clouds
149,Berbera,SO,10.4396,45.0143,86.18,66,42,13.27,scattered clouds
150,Vila Do Maio,CV,15.1333,-23.2167,77.79,81,40,18.37,scattered clouds
151,Pelaya,CO,8.6882,-73.6645,77.68,82,17,1.12,few clouds
152,Gavrilovka Vtoraya,RU,52.877,42.7663,55.89,82,78,8.48,broken clouds
153,Padilla,CO,3.2204,-76.3139,69.37,87,92,1.68,overcast clouds
154,Srednekolymsk,RU,67.45,153.6833,-6.61,98,100,5.26,overcast clouds
155,Den Helder,NL,52.9599,4.7593,47.01,50,19,23.0,few clouds
156,Victoria,HK,22.2855,114.1577,59.38,81,100,8.99,light rain
157,Cape Canaveral,US,28.4058,-80.6048,73.02,88,0,4.61,clear sky
158,Toucheng,TW,24.8592,121.8233,63.09,91,100,11.63,overcast clouds
159,Le Port,RE,-20.9373,55.2919,77.0,88,100,7.43,heavy intensity rain
160,Bijar,IR,35.8668,47.6051,70.74,15,14,11.86,few clouds
161,Neklyudovo,RU,56.4114,43.9814,34.99,99,100,12.55,light snow
162,Deep River,CA,46.1001,-77.4995,27.95,85,41,4.94,scattered clouds
163,Hovd,MN,48.0056,91.6419,44.74,21,100,2.84,overcast clouds
164,Livny,RU,52.4253,37.6069,56.05,73,96,13.67,overcast clouds
165,Port Alfred,ZA,-33.5906,26.891,67.17,81,100,3.0,overcast clouds
166,Omagh,GB,54.6,-7.3,46.47,64,47,9.15,scattered clouds
167,Mehamn,NO,71.0357,27.8492,24.75,68,20,5.75,few clouds
168,Auki,SB,-8.7676,160.7034,77.72,85,97,2.06,overcast clouds
169,Shingu,JP,33.7333,135.9833,49.66,85,100,5.14,moderate rain
170,Deputatskiy,RU,69.3,139.9,-18.83,100,48,2.71,scattered clouds
171,Tiksi,RU,71.6872,128.8694,-3.3,100,55,0.74,broken clouds
172,Mackenzie,CA,55.2999,-123.1698,32.22,80,100,6.91,overcast clouds
173,Tuktoyaktuk,CA,69.4541,-133.0374,-25.4,100,95,5.5,overcast clouds
174,Puerto Rico,AR,-26.796,-55.024,66.54,71,8,3.62,clear sky
175,Roma,US,43.2128,-75.4557,34.38,61,100,16.11,overcast clouds
176,Ponta Do Sol,PT,32.6667,-17.1,65.01,77,95,8.08,overcast clouds
177,Troitskoye,RU,52.9821,84.6757,37.49,95,88,11.27,overcast clouds
178,Araouane,ML,18.9048,-3.5265,98.26,9,2,7.92,clear sky
179,Constantine,DZ,36.365,6.6147,53.01,43,75,16.11,broken clouds
180,Esperance,AU,-33.8667,121.9,71.01,60,2,11.01,clear sky
181,Camacha,PT,33.0833,-16.3333,62.02,63,40,14.97,scattered clouds
182,Palmer,US,42.1584,-72.3287,37.62,51,40,19.57,scattered clouds
183,Eureka,US,40.8021,-124.1637,47.19,81,67,8.46,broken clouds
184,Aktau,KZ,43.65,51.2,73.98,34,73,23.09,broken clouds
185,Ust-Maya,RU,60.4167,134.5333,16.2,95,96,5.1,overcast clouds
186,Smirnykh,RU,49.75,142.8333,17.24,93,12,2.77,few clouds
187,Longyearbyen,SJ,78.2186,15.6401,1.24,60,34,10.36,scattered clouds
188,Pleszew,PL,51.8964,17.7855,43.21,39,100,18.21,overcast clouds
189,Barrow,US,71.2906,-156.7887,-12.98,77,0,12.66,clear sky
190,Bubaque,GW,11.2833,-15.8333,75.2,65,74,5.14,broken clouds
191,Clyde River,CA,70.4692,-68.5914,10.63,92,100,2.3,fog
192,Metro,ID,-5.1131,105.3067,78.15,86,94,4.61,light rain
193,Marsa Matruh,EG,31.3525,27.2453,69.94,50,100,11.95,overcast clouds
194,Wum,CM,6.3833,10.0667,92.52,21,67,8.16,broken clouds
195,Minab,IR,27.1467,57.0801,96.08,18,0,9.91,clear sky
196,Leningradskiy,RU,69.3833,178.4167,-8.93,100,100,6.58,overcast clouds
197,Praia,CV,14.9215,-23.5087,77.54,57,20,16.11,few clouds
198,Augusto Correa,BR,-1.0217,-46.635,75.88,94,92,2.77,overcast clouds
199,Shimoni,KE,-4.6476,39.3817,84.72,68,28,10.29,scattered clouds
200,Talnakh,RU,69.4865,88.3972,13.21,96,100,4.36,overcast clouds
201,Airai,TL,-8.9266,125.4092,59.72,92,77,1.86,broken clouds
