City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Kruisfontein,ZA,63.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
247,Lorengau,PG,78.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Honiara,SB,77.97,overcast clouds,-9.4333,159.95,Heritage Park Hotel
255,Ilhabela,BR,73.4,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
263,Kuruman,ZA,74.98,scattered clouds,-27.4524,23.4325,Cornerstone Guest House
264,Porto Velho,BR,68.05,overcast clouds,-8.7619,-63.9039,Ecos Hotel Conforto
265,Sao Filipe,CV,71.46,scattered clouds,14.8961,-24.4956,Hotel Xaguate
277,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
285,San Patricio,US,71.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
286,Cap Malheureux,MU,75.47,heavy intensity rain,-19.9842,57.6142,Pereybere Hotel & Spa
295,Capao Da Canoa,BR,67.12,clear sky,-29.7456,-50.0097,Hotel Araçá
302,Victor Harbor,AU,60.53,overcast clouds,-35.5667,138.6167,McCracken Country Club
304,Tecoanapa,MX,70.0,broken clouds,16.5167,-98.75,Hotel Manglares
310,Marawi,PH,69.96,moderate rain,7.9986,124.2928,Derogongan Residence
311,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
313,Asau,RO,61.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
314,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
317,Nabire,ID,79.25,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
319,Bredasdorp,ZA,68.27,light rain,-34.5322,20.0403,Bredasdorp Country Manor
320,Ertil,RU,65.66,broken clouds,51.8406,40.8056,Gostinitsa
321,Imbituba,BR,67.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
322,Binuangan,PH,76.42,moderate rain,8.9153,124.7883,Binuangan Tourist Inn
326,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
331,Trairi,BR,74.34,overcast clouds,-3.2778,-39.2689,janelas do mar
339,Nanning,CN,61.25,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
340,Kibondo,TZ,75.4,light rain,-3.5864,30.7203,Pongezi Annex Guest House
350,Butare,RW,71.37,light rain,-2.5967,29.7394,Light House Hotel
351,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
358,San Juan De Uraba,CO,76.46,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
362,Chengdu,CN,62.49,clear sky,30.6667,104.0667,Crowne Plaza Chengdu City Center
364,Ballina,AU,71.56,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
366,Dawei,MM,79.23,scattered clouds,14.0833,98.2,Hotel Dawei
374,Chitipa,MW,78.1,light rain,-9.7024,33.2697,Tulipoka Lodges
381,Townsville,AU,79.68,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
382,Erzin,TR,79.18,clear sky,36.9559,36.2,Artemis Otel
386,Ginda,IN,75.96,clear sky,30.6945,78.4932,Sunil Bisht
388,Tezu,IN,70.86,overcast clouds,27.9167,96.1667,Circuit House
